Question,Options,Answer,Explanation
"1. A person who owns a property as a tenant in common:","a. has right of survivorship.\nb. must have a divided interest.\nc. has an undivided interest in the whole.\nd. must own an equal share.","c. has an undivided interest in the whole.","TIC owners have undivided possession, even if their financial shares are unequal."
"2. Which of the following is TRUE of joint tenancy?","a. The owner's interest is always equal.\nb. Ownership is divided.\nc. It can be created by a will.\nd. New owners can be added later.","a. The owner's interest is always equal.","Joint tenancy requires the 'Four Unities,' including equal interest."
"3. Three people are joint tenants. One sells his interest to a fourth person. The fourth person is now:","a. a joint tenant.\nb. a tenant in common.\nc. a tenant by the entirety.\nd. a life tenant.","b. a tenant in common.","A new owner cannot be a joint tenant because they lack the unity of time."
"4. Which of the following is NOT one of the 'four unities' of joint tenancy?","a. Title\nb. Time\nc. Possession\nd. Equity","d. Equity","The unities are PITT: Possession, Interest, Time, and Title."
"5. A married couple owns a property together. When one dies, the other becomes the sole owner. This is:","a. tenancy in common.\nb. community property.\nb. life estate.\nd. joint tenancy (or tenancy by the entirety).","d. joint tenancy (or tenancy by the entirety).","The 'Right of Survivorship' is the defining feature here."
"6. In a condominium, the land is owned by:","a. the developer.\nb. the condo association.\nc. the unit owners as tenants in common.\nd. the unit owners as joint tenants.","c. the unit owners as tenants in common.","Units are owned fee simple; common elements are owned as TIC."
"7. A cooperative owner receives:","a. a deed.\nb. a life estate.\nc. shares of stock and a proprietary lease.\nd. a trust deed.","c. shares of stock and a proprietary lease.","Co-op owners don't own real estate; they own stock in a corporation."
"Condominium","","Unit owner holds fee simple title to a unit plus share of common elements.","Common elements are owned as Tenancy in Common."
"Cooperative (Co-op)","","Corporation holds title to the land/building; residents own stock.","Residents get a 'proprietary lease' rather than a deed."
"Joint Tenancy","","Ownership by two or more with the right of survivorship.","Requires PITT: Possession, Interest, Time, Title."
"Right of Survivorship","","On the death of a joint tenant, the interest passes to the remaining tenants.","This avoids the probate process."
"Tenancy in Common (TIC)","","Ownership by two or more with undivided interest; no survivorship.","Interests can be unequal and can be inherited."
"Trust","","Device by which one person transfers property to another to hold for a third party.","Involves Trustor, Trustee, and Beneficiary."
"PITT","","The four unities of Joint Tenancy.","Possession, Interest, Time, and Title."
